name,type,industry
Abiomed Impella,product,MedTech
Acuvue,product,MedTech
AFiB awareness month,key moment in time,MedTech
Alzeimer's Disease,product,Innovative Medicine
ASCO conference,conference,Innovative Medicine
ASH conference,conference,Innovative Medicine
Bio International Convention,conference,
Breast Cancer Awareness Month,key moment in time,MedTech
CAPLYTA,product,Innovative Medicine
CAR-T,product,Innovative Medicine
CARVYKTI,product,Innovative Medicine
Cataract Awareness Month,key moment in time,MedTech
CEPHEUS,product,Innovative Medicine
CIDP1,product,Innovative Medicine
Concerta,product,Innovative Medicine
DARZALEX,product,Innovative Medicine
Direct to Consumer,product,
DTC,product,
ESMO conference,conference,Innovative Medicine
Ethicon,product,MedTech
FUJIFILM,product,
Global Neurodegeneration Proteomics Consortium,product,Innovative Medicine
GLOBE,product,
HLTH conference,conference,
Icotrokinra,product,Innovative Medicine
IMAAVY,product,Innovative Medicine
Impella,product,MedTech
INLEXO,product,Innovative Medicine
INVEGA SUSTENNA,product,Innovative Medicine
Lazcluze,product,Innovative Medicine
Macitentan,product,Innovative Medicine
Mentor Memory Gel,product,MedTech
MFN,product,
Milvexian,product,Innovative Medicine
Monarch,product,MedTech
Most Favored Nation,product,
Nipocalimab,product,Innovative Medicine
Opsumit,product,Innovative Medicine
OTTAVA,product,MedTech
Polyphonic,product,MedTech
PROTEOLOGIX,product,Innovative Medicine
Psych Congress,conference,Innovative Medicine
Quarterly earnings,key moment in time,
REMICADE,product,Innovative Medicine
Rybrevant,product,Innovative Medicine
Shockwave,product,MedTech
SIRTURO,product,Innovative Medicine
Spravato,product,Innovative Medicine
Spravato REMS,product,Innovative Medicine
STELARA,product,Innovative Medicine
TAR-200,product,Innovative Medicine
TARIS,product,Innovative Medicine
Tremfya,product,Innovative Medicine
Tylenol,product,
UPTRAVI,product,Innovative Medicine
Varipulse,product,MedTech
V-Wave,product,MedTech
World Conference on Lung Cancer,conference,Innovative Medicine
World Lung Cancer Day,key moment in time,Innovative Medicine
XARELTO,product,Innovative Medicine
